,问卷编号,调查员,民族,政治面貌,年级,您觉得自己是个典型的中国人吗,与世界其他国家的人相比中国人有自己的特点吗,v1,v2,v3,v4,你是否了解重活民族的传统节日,v5,您觉得中国怎么样,您认为中国有多少值得自豪的地方,您认为世界有多少比例的人尊重中国,对您而言作为一名中国人有多重要,会以中国人自豪吗,会隐瞒身份吗,会打多少分,国歌升起,世博会,中国传统文化,发展信心,你会为中国运动员呐喊助威,遇到灾难时中国人应该伸出援手,你愿意加入其他国籍吗,中国人要为祖国统一奋斗吗
0,851.0,乔玮,壮族,团员,大四,完全是,较有特点,完全同意,完全同意,同意,同意,比较了解,不太了解,挺好,很多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,很赞同,其他,很赞同
1,852.0,乔玮,土家族,团员,大四,可以算,非常有特点,有点同意,同意,有点同意,有点同意,比较了解,不太了解,挺好,很多,较多比例,比较重要,会,可能会,八十到一百,比较激动,比较好,富有内涵，意义深刻,没信心,肯定会,不一定,做外籍华人,赞同
2,853.0,乔玮,回族,群众,大四,可以算,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,有些,绝对不会,四十到六十,一般,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,赞同,做外籍华人,赞同
3,854.0,乔玮,土家族,团员,大四,完全是,较有特点,完全同意,完全同意,同意,不同意,比较了解,比较了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,做外籍华人,很赞同
4,855.0,乔玮,彝族,团员,大四,完全是,较有特点,同意,完全同意,有点同意,同意,比较了解,比较了解,挺好,有一些,较多比例,一般般,会,绝对不会,六十到八十,比较激动,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,不加入,赞同
5,856.0,乔玮,藏族,党员,大三,可以算,一般般,同意,完全同意,同意,完全同意,不太了解,不太了解,一般般,很多,不多的比例,一般般,不太会,绝对不会,四十到六十,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,做外籍华人,很赞同
6,857.0,乔玮,回族,团员,大四,可以算,较有特点,完全同意,完全同意,同意,同意,不太了解,比较了解,一般般,特别多,不多的比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,不加入,很赞同
7,858.0,乔玮,汉族,团员,大四,完全是,较有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,挺好,特别多,较多比例,比较重要,不会,一定会,四十到六十,感到非常激动,比较好,富有内涵，意义深刻,很有信心,大多数情况下会,不赞同,不加入,很赞同
8,859.0,乔玮,壮族,团员,大二,可以算,非常有特点,完全同意,完全同意,同意,完全同意,完全了解,比较了解,挺好,很多,较多比例,十分重要,有些,绝对不会,八十到一百,感到非常激动,一般,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,不加入,很赞同
9,860.0,乔玮,汉族,党员,大四,不太算,较无特点,不同意,同意,完全不同意,有点同意,不太了解,比较了解,较差,有一些,不多的比例,不太重要,不太会,很可能不会,四十到六十,比较激动,一般,比较肯定,担忧不好说,大多数情况下会,不一定,做外籍华人,不一定
